ref,sku_bw,designation,machines_db,machines_hub,present_hub,fournisseur,ref_fournisseur,prix_catalogue
BW-0498,oui,PRO2 - Electric rocker switch,PRO2 black; PRO2 white,PRO2,oui,Borg&Overström,174321,AS*
BW-0499,oui,PRO2 - IEC Fused socket,PRO2 black; PRO2 white,PRO2,oui,Borg&Overström,172163,AS*
BW-0500,oui,PRO2 - Pump 35L/h 24VDC,PRO2 black; PRO2 white,PRO2,oui,Borg&Overström,174372,280
BW-0501,oui,PRO2 - Left Side Panel inc handle,PRO2 black; PRO2 white,PRO2,oui,Borg&Overström,121850,AS*
BW-0502,oui,PRO2 - Compressor,PRO2 black; PRO2 white,PRO2,oui,Borg&Overström,174313,AS*
BW-0503,oui,PRO2 - Main PCB Case Assembly,PRO2 black; PRO2 white,PRO2,oui,Borg&Overström,171268,AS*
BW-0504,oui,PRO2 - Faucet 4 Outlets,PRO2 black; PRO2 white,PRO2,oui,Borg&Overström,133514,AS*
BW-0505,oui,PRO2 - Faucet Shroud,PRO2 black; PRO2 white,PRO2,oui,Borg&Overström,183246,AS*
BW-0506,oui,PRO2 - Front panel Black,PRO2 black,PRO2,oui,Borg&Overström,120802,AS*
BW-0507,oui,PRO2 - Drip Tray Set without drainage black,PRO2 black; PRO2 white,PRO2,oui,Borg&Overström,125840,AS*
BW-0508,oui,PRO2 - Touch Icon Illumination Diffuser,PRO2 black; PRO2 white,PRO2,oui,Borg&Overström,171269,AS*
BW-0509,oui,PRO2 - LED PCB Wiring Loom,PRO2 black; PRO2 white,PRO2,oui,Borg&Overström,172223,AS*
BW-0510,oui,PRO2 - Right Side Panel inc handle,PRO2 black; PRO2 white,PRO2,oui,Borg&Overström,121851,AS*
BW-0511,oui,PRO2 - CO2 Single Gauge Regulator with elbow,PRO2 black; PRO2 white,PRO2,oui,Borg&Overström,193220,AS*
BW-0635,oui,AQTiV flow compensator,AQTiV COMBI; AQTiV COMBI H; AQTiV ONE,AQTiV COMBI; AQTiV ONE,oui,Superinox,R040096-030,AS*
BW-0646,oui,PRO1 - Refrigeration probe - A,BOX BAR1 2021; BOX PRO1 2021,PRO1; BOX 30 (2021),oui,Borg&Overström,720023,43
BW-0647,oui,PRO1 - Level probe - A,BOX BAR1 2021; BOX PRO1 2021,PRO1; BOX 30 (2021),oui,Borg&Overström,637327,
BW-0783,oui,PRO2 - Loom solenoids Rev2,PRO2.1,PRO2,oui,Borg&Overström,702539,AS*
BW-0973,oui,Gearbox - Handle (x10),AQTiV COMBI; AQTiV COMBI H; AQTiV ONE,AQTiV COMBI; AQTiV ONE,oui,,P040039 + P036001,
BW-0974,oui,Gearbox - Hat without handle (x5),AQTiV COMBI; AQTiV COMBI H; AQTiV ONE,AQTiV COMBI; AQTiV ONE,oui,,P040038,
BW-0975,oui,Gearbox - Lever (x10),AQTiV COMBI; AQTiV COMBI H; AQTiV ONE,AQTiV COMBI; AQTiV ONE,oui,, P040035 + P040040,
BW-0989,oui,Condenser,(absent de la base),BOX 20,oui,,,
BW-0990,oui,Solenoid valve (per schema),(absent de la base),BOX 20,oui,,,
BW-0991,oui,Thermostat Ranco K50 P1127.0,(absent de la base),BOX 20,oui,,,
BW-0992,oui,Solenoid-valve bracket,(absent de la base),BOX 20,oui,,,
BW-0993,oui,Tank support bracket,(absent de la base),BOX 20,oui,,,
BW-0994,oui,"Outer casing / cabinet, black",(absent de la base),BOX 20,oui,,,
BW-0995,oui,Base frame,(absent de la base),BOX 20,oui,,,
BW-0996,oui,Pump bracket,(absent de la base),BOX 20,oui,,,
BW-0997,oui,Tank insulation,(absent de la base),BOX 20,oui,,,
BW-0998,oui,Compressor LG TS36NATG (R600a),(absent de la base),BOX 20,oui,,,
BW-0999,oui,Carbonator control board + time-out (level I),(absent de la base),BOX 20; BOX 80 I,oui,,,
BW-1000,oui,Primary wiring harness,(absent de la base),BOX 20,oui,,,
BW-1001,oui,Front panel,(absent de la base),BOX 20,oui,,,
BW-1002,oui,Wiring harness,(absent de la base),BOX 20,oui,,,
BW-1003,oui,Booster pump,(absent de la base),BOX 20,oui,,,
BW-1004,oui,"Expansion compensator, tube Ø8",(absent de la base),BOX 20; BOX 80 I; BOX 120 I,oui,,,
BW-1005,oui,Rubber cable grommet,(absent de la base),BOX 20,oui,,,
BW-1006,oui,"End plug, Ø6 Lokring",(absent de la base),BOX 20,oui,,,
BW-1007,oui,"Label/sticker kit, chiller-carbonator (2 undercounter +)",(absent de la base),BOX 20,oui,,,
BW-1008,oui,Refrigerant gas R600a,(absent de la base),BOX 20,oui,,,
BW-1009,oui,Aluminium rivet 4x10,(absent de la base),BOX 20,oui,,,
BW-1010,oui,Nylon bag 55+20+20x1,(absent de la base),BOX 20; BOX 80 I; BOX 120 I,oui,,,
BW-1011,oui,Packaging - tray,(absent de la base),BOX 20,oui,,,
BW-1012,oui,Faston male terminal cover,(absent de la base),BOX 20,oui,,,
BW-1013,oui,Faston male terminal,(absent de la base),BOX 20,oui,,,
BW-1014,oui,Time-delay fuse 3.15 A,(absent de la base),BOX 20,oui,,,
BW-1015,oui,Power inlet socket with fuse,(absent de la base),BOX 20; BOX 80 I; BOX 120 I,oui,,,
