sku_bw,designation,machines,fournisseur,ref_fournisseur,designation_fournisseur,prix_catalogue,devise,remise
BW-0997,Tank insulation,BOX 20,Italbedis,207033,ISOLAMENTO VASCA SLIM / PLUS / NATURAL,19.03,EUR,0.6
BW-0998,Compressor LG TS36NATG (R600a),BOX 20,Italbedis,400054,COMPRESSORE LG TS36NATG R600a,130.0,EUR,0.6
BW-0999,Carbonator control board + time-out (level I),BOX 20; BOX 80 I,Italbedis,450015,SCHEDA CARBONATORE+TIME OUT - LIV-I,68.64,EUR,0.6
BW-1000,Primary wiring harness,BOX 20,Italbedis,490012,CABLAGGIO PRIMARIO NEW H2ONDA SLIM,24.0,EUR,0.6
BW-1001,Front panel,BOX 20,Italbedis,208042,FRONTALE SLIM PLUS SOTTO,37.7,EUR,0.6
BW-1002,Wiring harness,BOX 20,Italbedis,450104,CABLAGGIO PLUS / SLIM - 4 SOTTO,22.0,EUR,0.6
BW-1003,Booster pump,BOX 20,Italbedis,408026,POMPA BOOSTER H2ONDA SLIM,327.6,EUR,0.6
BW-1004,"Expansion compensator, tube Ø8",BOX 20; BOX 80 I; BOX 120 I,Italbedis,320216,COMPENSATORE ODL T Ø 8,26.78,EUR,0.6
BW-1005,Rubber cable grommet,BOX 20,Italbedis,490021,ANELLO PASSAFILO IN GOMMA,0.7,EUR,0.6
BW-1006,"End plug, Ø6 Lokring",BOX 20,Italbedis,360084,TAPPO D6 LOKRING,1.0,EUR,0.6
BW-1007,"Label/sticker kit, chiller-carbonator (2 undercounter +)",BOX 20,Italbedis,551045,KIT ADESIVI FRIGOGASATORI 2 SOTTO,1.56,EUR,0.6
BW-1008,Refrigerant gas R600a,BOX 20,Italbedis,690025,GAS REFRIGERANTE R600a,0.5,EUR,0.6
BW-1009,Aluminium rivet 4x10,BOX 20,Italbedis,630007,RIVETTO ALLUMINIO 4x10,0.2,EUR,0.6
BW-1010,Nylon bag 55+20+20x1,BOX 20; BOX 80 I; BOX 120 I,Italbedis,502001,SACCO NYLON REFRIGERETTE 55+20+20X1,3.0,EUR,0.6
BW-1011,Packaging - tray,BOX 20,Italbedis,500066,IMBALLO SLIM - VASSOIO,2.5,EUR,0.6
BW-1012,Faston male terminal cover,BOX 20,Italbedis,490010,COPRITERMINALE FASTON MASCHIO,0.1,EUR,0.6
BW-1013,Faston male terminal,BOX 20,Italbedis,490009,TERMINALE FASTON MASCHIO,0.2,EUR,0.6
BW-1014,Time-delay fuse 3.15 A,BOX 20,Italbedis,485028,"FUSIBILE RITARDATO 3,15 A",0.7,EUR,0.6
BW-1015,Power inlet socket with fuse,BOX 20; BOX 80 I; BOX 120 I,Italbedis,485027,PRESA ALIMENTAZIONE CON FUSIBILE,3.65,EUR,0.6
BW-1016,Power supply cord (unit standard equipment),BOX 20; BOX 80 I; BOX 120 I,Italbedis,485017,CAVO ALIMENTAZIONE DOTAZIONE REFRIG,8.06,EUR,0.6
BW-1017,Carbonator sensor/probe cable,BOX 20,Italbedis,485015,CAVO SONDE GASATORE PLUS,2.0,EUR,0.6
BW-1018,"Aluminium anti-condensation tape, H75",BOX 20,Italbedis,207030,NASTRO ALL.ANTICOND.H75,0.94,EUR,0.6
BW-1019,"Anti-vibration pad, compressor",BOX 20; BOX 80 I; BOX 120 I,Italbedis,202006,TAMPONE ANTIVIBRAZIONE COMP.,0.32,EUR,0.6
BW-1020,"Foot, black 8mm",BOX 20,Italbedis,202023,PIEDINO NERO 8mm,0.22,EUR,0.6
BW-1021,"Sheet metal 8/10 (0.8mm), black, 1250x2195",BOX 20,Italbedis,190014,LAM.8/10 NERA 1250x2195,160.0,EUR,0.6
BW-1022,"Filter drier, complete",BOX 20,Italbedis,109016,FILTRO DISIDRATATORE COMPLETO SLIM,12.0,EUR,0.6
BW-1023,Brazed charging valve,BOX 20; BOX 80 I; BOX 120 I,Italbedis,820002,VALVOLA DI CARICA SALDATA,5.08,EUR,0.6
BW-1024,Packaging - cap,BOX 20,Italbedis,500067,IMBALLO SLIM - CAPPUCCIO,3.3,EUR,0.6
BW-1025,Condenser,BOX 80 I,Italbedis,111015,CONDENSATORE AI 80,87.36,EUR,0.6
BW-1026,Fan 119x119x38,BOX 80 I; BOX 120 I,Italbedis,404007,VENTILATORE 119X119X38 AI 40/80/120,30.16,EUR,0.6
BW-1027,Motor Sisme Plus,BOX 80 I; BOX 120 I,Italbedis,404030,MOTORE SISME PLUS,140.0,EUR,0.6
BW-1028,Pump 150 L/h,BOX 80 I,Italbedis,408023,POMPA 150LT/H JET20 / AI40 / AI80,114.0,EUR,0.6
BW-1029,"Filter drier, complete",BOX 80 I; BOX 120 I,Italbedis,109019,FILTRO DISIDRATATORE COMPLETO 80-120,13.0,EUR,0.6
BW-1030,Carbonator,BOX 80 I,Italbedis,390095,GASATORE AI 40 / AI 80,182.0,EUR,0.6
BW-1031,Agitator / stirrer MIR B 4L,BOX 120 I,Italbedis,404027,AGITATORE MIR B 4L - ICE 120,103.74,EUR,0.6
BW-1032,Agitator / stirrer MIR A,BOX 80 I,Italbedis,404029,AGITATORE MIR A - ICE 80S / 150,94.64,EUR,0.6
BW-1033,Agitator bracket,BOX 80 I,Italbedis,103086,STAFFA AGITATORE ICE 80 2018,29.26,EUR,0.6
BW-1034,Electronic-board bracket,BOX 80 I; BOX 120 I,Italbedis,103088,STAFFA SCHEDA ELETTRONICA ICE 80/120,8.84,EUR,0.6
BW-1035,Thermostat Ranco K50-H2005/001,BOX 80 I; BOX 120 I,Italbedis,401029,TERMOSTATO RANCO K50-H2005/001 JET,14.95,EUR,0.6
BW-1036,"Tank, complete",BOX 80 I,Italbedis,201039,VASCA ICE 80 2018 COMPL.,83.2,EUR,0.6
BW-1037,Stainless-steel base,BOX 80 I,Italbedis,102062,BASAMENTO INOX ICE 80 2018,109.2,EUR,0.6
BW-1038,Stainless-steel top cover / lid,BOX 80 I,Italbedis,103083,COPERCHIO INOX ICE 80 2018,46.8,EUR,0.6
